,list_name,name,label,admin_2
1,settlements,Abang,Abang,Abiemnhom
2,settlements,Abiemnhom,Abiemnhom,Abiemnhom
3,settlements,Agok,Agok,Abiemnhom
4,settlements,Agven_Gok,Agven Gok,Abiemnhom
5,settlements,Aweragor,Aweragor,Abiemnhom
6,settlements,Bangbang,Bangbang,Abiemnhom
7,settlements,Bil,Bil,Abiemnhom
8,settlements,Buryom,Buryom,Abiemnhom
9,settlements,Dal,Dal,Abiemnhom
10,settlements,Dok,Dok,Abiemnhom
11,settlements,Hamir,Hamir,Abiemnhom
12,settlements,Kamadar,Kamadar,Abiemnhom
13,settlements,Kiirthok,Kiirthok,Abiemnhom
14,settlements,Kuol_malek,Kuol Malek,Abiemnhom
15,settlements,Madwong,Madwong,Abiemnhom
16,settlements,Makuey,Makuey,Abiemnhom
17,settlements,Pan_Kwil,Pan Kwil',Abiemnhom
18,settlements,Pangok,Pangok,Abiemnhom
19,settlements,Panyang,Panyang,Abiemnhom
20,settlements,Rakayan,Rakayan,Abiemnhom
21,settlements,Rob_Gebba,Rob Gebba,Abiemnhom
22,settlements,Rumayar,Rumayar,Abiemnhom
23,settlements,Teliach,Teliach,Abiemnhom
24,settlements,Wer_Ping,Wer Ping,Abiemnhom
25,settlements,Wurem,Wurem,Abiemnhom
26,settlements,Abathok,Abathok,AbyeiRegion
27,settlements,Abiadat_(balom),Abiadat (Balom),AbyeiRegion
28,settlements,Abu_Azala,Abu Azala,AbyeiRegion
29,settlements,Abu_Haiura,Abu Haiura,AbyeiRegion
30,settlements,Abu_Zur,Abu Zur,AbyeiRegion
31,settlements,Abyei,Abyei,AbyeiRegion
32,settlements,Abyeithony,Abyeithony,AbyeiRegion
33,settlements,Agach,Agach,AbyeiRegion
34,settlements,Agany_Acueng,Agany Acueng,AbyeiRegion
35,settlements,Aganytok,Aganytok,AbyeiRegion
36,settlements,Agok,Agok,AbyeiRegion
37,settlements,Akec_Nhial,Akec Nhial,AbyeiRegion
38,settlements,Akengial,Akengial,AbyeiRegion
39,settlements,Akhengial,Akhengial,AbyeiRegion
40,settlements,Akoung,Akoung,AbyeiRegion
41,settlements,Akur,Akur,AbyeiRegion
42,settlements,Akur_Riang,Akur Riang,AbyeiRegion
43,settlements,Akwong_Bridge,Akwong Bridge,AbyeiRegion
44,settlements,Alal,Alal,AbyeiRegion
45,settlements,Allal,Allal,AbyeiRegion
46,settlements,Almalamm,Almalamm,AbyeiRegion
47,settlements,Ameit,Ameit,AbyeiRegion
48,settlements,Ameth_Bake,Ameth Bake,AbyeiRegion
49,settlements,Andal_Bridge,Andal Bridge,AbyeiRegion
50,settlements,Anet,Anet,AbyeiRegion
51,settlements,Anyeil,Anyeil,AbyeiRegion
52,settlements,Arel_Bar,Arel Bar,AbyeiRegion
53,settlements,Arik,Arik,AbyeiRegion
54,settlements,Athony,Athony,AbyeiRegion
55,settlements,Athony/_Athoong,Athony/ Athoong,AbyeiRegion
56,settlements,Awal,Awal,AbyeiRegion
57,settlements,Awan_Chan,Awan Chan,AbyeiRegion
58,settlements,Awolnhom,Awolnhom,AbyeiRegion
59,settlements,Awoluum,Awoluum,AbyeiRegion
60,settlements,Ayac,Ayac,AbyeiRegion
61,settlements,Ayak_Thony(tuoy),Ayak Thony(Tuoy),AbyeiRegion
62,settlements,Ayom_Bonj,Ayom Bonj,AbyeiRegion
63,settlements,Baar,Baar,AbyeiRegion
64,settlements,Bakhitah_Umm_Humbukk,Bakhitah Umm Humbukk,AbyeiRegion
65,settlements,Bambon,Bambon,AbyeiRegion
66,settlements,Banton,Banton,AbyeiRegion
67,settlements,Banton_Bridge,Banton Bridge,AbyeiRegion
68,settlements,Bargnop,Bargnop,AbyeiRegion
69,settlements,Bedheni,Bedheni,AbyeiRegion
70,settlements,Bioknom,Bioknom,AbyeiRegion
71,settlements,Bongo,Bongo,AbyeiRegion
72,settlements,Bougek,Bougek,AbyeiRegion
73,settlements,Bour_Akol,Bour Akol,AbyeiRegion
74,settlements,Buk,Buk,AbyeiRegion
75,settlements,Dabib,Dabib,AbyeiRegion
76,settlements,Danga,Danga,AbyeiRegion
77,settlements,Dawas,Dawas,AbyeiRegion
78,settlements,Debab,Debab,AbyeiRegion
79,settlements,Denchuk,Denchuk,AbyeiRegion
80,settlements,Dimsoia,Dimsoia,AbyeiRegion
81,settlements,Dokura,Dokura,AbyeiRegion
82,settlements,Dul,Dul,AbyeiRegion
83,settlements,Duldol,Duldol,AbyeiRegion
84,settlements,Dumboloya,Dumboloya,AbyeiRegion
85,settlements,Dungop,Dungop,AbyeiRegion
86,settlements,Dungop/tiok,Dungop/Tiok,AbyeiRegion
87,settlements,Duop,Duop,AbyeiRegion
88,settlements,Ed_Dahlob,Ed Dahlob,AbyeiRegion
89,settlements,Ed_Derangis,Ed Derangis,AbyeiRegion
90,settlements,El_Aradeib,El Aradeib,AbyeiRegion
91,settlements,El_Feras,El Feras,AbyeiRegion
92,settlements,El_Gulmaya,El Gulmaya,AbyeiRegion
93,settlements,El_Kibeibi,El Kibeibi,AbyeiRegion
94,settlements,El_Melemm,El Melemm,AbyeiRegion
95,settlements,El_Udam,El Udam,AbyeiRegion
96,settlements,En_Nimr,En Nimr,AbyeiRegion
97,settlements,Er_Raqaba,Er Raqaba,AbyeiRegion
98,settlements,Es_Saart,Es Saart,AbyeiRegion
99,settlements,Es_Surik,Es Surik,AbyeiRegion
100,settlements,Esh_Shedidi,Esh Shedidi,AbyeiRegion
101,settlements,Et_Timsah,Et Timsah,AbyeiRegion
102,settlements,Fagai,Fagai,AbyeiRegion
103,settlements,Fama,Fama,AbyeiRegion
104,settlements,Feid_El_Ghannama,Feid El Ghannama,AbyeiRegion
105,settlements,Galar,Galar,AbyeiRegion
106,settlements,Galdau,Galdau,AbyeiRegion
107,settlements,Ghabush,Ghabush,AbyeiRegion
108,settlements,Gildou,Gildou,AbyeiRegion
109,settlements,Gok_Amin,Gok Amin,AbyeiRegion
110,settlements,Gok_Athoi,Gok Athoi,AbyeiRegion
111,settlements,Golae_/_Langar,Golae / Langar,AbyeiRegion
112,settlements,Gong_Limok,Gong Limok,AbyeiRegion
113,settlements,Gop_Acuil_Wien,Gop Acuil Wien,AbyeiRegion
114,settlements,Guk_Lanlual,Guk Lanlual,AbyeiRegion
115,settlements,Gumamo,Gumamo,AbyeiRegion
116,settlements,Gung_Mabil,Gung Mabil,AbyeiRegion
117,settlements,Gungawi_Bridge,Gungawi Bridge,AbyeiRegion
118,settlements,Hagleg,Hagleg,AbyeiRegion
119,settlements,Halluf,Halluf,AbyeiRegion
120,settlements,Heglig,Heglig,AbyeiRegion
121,settlements,Hooc,Hooc,AbyeiRegion
122,settlements,Jul_Jok,Jul Jok,AbyeiRegion
123,settlements,Kajjam,Kajjam,AbyeiRegion
124,settlements,Kapu_urnur,Kapu-Urnur,AbyeiRegion
125,settlements,Kardabsa,Kardabsa,AbyeiRegion
126,settlements,Karmanyuar,Karmanyuar,AbyeiRegion
127,settlements,Karr_Allei,Karr Allei,AbyeiRegion
128,settlements,Key_Nyal,Key Nyal,AbyeiRegion
