"","State_id","idp_sites","IDP_present","IDP_time_arrive","IDP_majority","food_inadequate","less_one_meal","hunger_severe_worse","wildfood_sick_alltime","skipping_days","flooded_shelter","fsl_composite","number_pts"
"1","Central Equatoria1164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"2","Central Equatoria1205",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"3","Central Equatoria1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"4","Central Equatoria1321",0,0,0,0,0,0,0,0.5,0,0,0.1,2
"5","Central Equatoria1322",0,0.5,0,0.375,0.75,0.625,0,0.125,0,0,0.3,8
"6","Central Equatoria1325",0,1,0,0.5,0,0,0,0,0,0,0,2
"7","Central Equatoria1332",0,0,0,0,0.75,0.75,0,0.5,0,0,0.4,4
"8","Central Equatoria1362",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"9","Central Equatoria1363",0,0.666666666666667,0,0.333333333333333,1,1,0,0.333333333333333,0,0,0.466666666666667,3
"10","Central Equatoria1367",0,1,0,0,0,0,0,0,0,0,0,3
"11","Central Equatoria1371",0,0.222222222222222,0,0,0.888888888888889,0.222222222222222,0.666666666666667,0.111111111111111,0,0,0.377777777777778,9
"12","Central Equatoria1408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"13","Central Equatoria1410",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"14","Central Equatoria1411",0,0,0,0,1,0.666666666666667,0,0.333333333333333,0,0,0.4,3
"15","Central Equatoria1441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"16","Central Equatoria1442",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"17","Central Equatoria1481",0,0.666666666666667,0,0.666666666666667,1,0.333333333333333,0.333333333333333,1,0,0,0.533333333333333,3
"18","Central Equatoria1482",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"19","Central Equatoria1483",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"20","Central Equatoria1485",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"21","Central Equatoria1486",0,1,0,1,1,1,1,0,1,0,0.8,2
