X,Y,INDEX,P_CODE,NAMECOUNTY,NAMEJOIN,NAME,STATEJOIN,COUNTYJOIN,PAYAM,FUNC_CLASS,CONF_SCORE,SRC_VERIFD,IMG_VERIFD
31.67235,5.92591,1,BW-0001,MathiangAwerial,Mathiang,Mathiang,Lakes,Awerial,Puluk,7,90,1,0
31.69544,5.93183,2,BW-0002,PanwelBorSouth,Panwel,Panwel,Jonglei,BorSouth,Kolnyang,6,50,1,1
31.67816,5.96147,3,BW-0003,KaigoBorSouth,Kaigo,Kaigo,Jonglei,BorSouth,Kolnyang,6,50,1,1
31.83828,5.96902,4,BW-0004,MaktiwengBorSouth,Maktiweng,Maktiweng,Jonglei,BorSouth,Kolnyang,6,50,1,0
31.62028,6.03944,5,BO-0001,Mabior_KechBorSouth,Mabior_Kech,MabiorKech,Jonglei,BorSouth,Kolnyang,6,30,1,1
31.64526,6.04851,6,BO-0002,JalangoBorSouth,Jalango,Jalango,Jonglei,BorSouth,Kolnyang,6,40,1,0
31.8,6.1,7,BO-0004,AwanBorSouth,Awan,Awan,Jonglei,BorSouth,Kolnyang,6,30,1,0
31.78761,6.10155,8,BO-0005,AlukBorSouth,Aluk,Aluk,Jonglei,BorSouth,Kolnyang,6,40,1,0
31.73063,6.13606,9,BO-0006,KolnyangBorSouth,Kolnyang,Kolnyang,Jonglei,BorSouth,Kolnyang,6,70,1,1
31.71,6.11,10,BO-0007,GwallaBorSouth,Gwalla,Gwalla,Jonglei,BorSouth,Kolnyang,6,30,1,0
31.74,6.12,11,BO-0009,TuklsBorSouth,Tukls,Tukls,Jonglei,BorSouth,Kolnyang,6,30,1,0
31.73148,6.12857,12,BO-0010,WurrierBorSouth,Wurrier,Wurrier,Jonglei,BorSouth,Kolnyang,6,20,1,0
31.73061,6.15313,13,BO-0011,AdolBorSouth,Adol,Adol,Jonglei,BorSouth,Kolnyang,6,40,1,1
31.57571,6.16013,14,BO-0012,MelwalBorSouth,Melwal,Melwal,Jonglei,BorSouth,Bor,5,50,1,1
31.77622,6.16093,15,BO-0013,MakjokoyBorSouth,Makjokoy,Makjokoy,Jonglei,BorSouth,Kolnyang,6,50,1,0
31.74831,6.16353,16,BO-0014,Jalle_Baidet_and_KolunyangBorSouth,Jalle_Baidet_and_Kolunyang,"Jalle,Baidet&Kolunyang",Jonglei,BorSouth,Kolnyang,7,40,1,0
31.57111,6.17059,17,BO-0015,PanapetBorSouth,Panapet,Panapet,Jonglei,BorSouth,Bor,6,50,1,1
31.84652,6.1782,18,BO-0016,NgapBorSouth,Ngap,Ngap,Jonglei,BorSouth,Anyidi,6,50,1,0
31.81,6.18,19,BO-0017,Kwal_TiuBorSouth,Kwal_Tiu,KwalTiu,Jonglei,BorSouth,Anyidi,6,30,1,1
31.73969,6.18057,20,BO-0018,MallidBorSouth,Mallid,Mallid,Jonglei,BorSouth,Anyidi,6,50,1,1
31.8085,6.18179,21,BO-0019,AnyidiBorSouth,Anyidi,Anyidi,Jonglei,BorSouth,Anyidi,5,110,1,1
31.98727,6.18182,22,BO-0020,WermacditBorSouth,Wermacdit,Wermacdit,Jonglei,BorSouth,Anyidi,6,30,1,0
31.78953,6.18536,23,BO-0021,PateropingBorSouth,Pateroping,Pateroping,Jonglei,BorSouth,Anyidi,6,50,1,0
31.78333,6.18567,24,BO-0022,BrongBorSouth,Brong,Brong,Jonglei,BorSouth,Anyidi,6,30,1,0
